player_name,role,tier,nomination_round,target_price,max_bid,strategy_type,confidence
Kean,A,C,7,318.75,375.0,value,0.55
Thuram,A,C,7,270.3,318.0,value,0.55
David,A,C,7,236.29999999999998,278.0,value,0.55
Gimenez,A,C,7,221.85,261.0,value,0.55
De Ketelaere,A,C,7,144.5,170.0,value,0.55
Dia,A,C,7,124.95,147.0,value,0.55
Immobile,A,C,7,119.0,140.0,value,0.55
Krstovic,A,C,7,117.3,138.0,value,0.55
Lang,A,C,7,79.89999999999999,94.0,value,0.55
Zapata D.,A,C,7,68.0,80.0,value,0.55
Pellegrino M.,A,C,7,51.85,61.0,value,0.55
Kuhn,A,C,7,45.05,53.0,value,0.55
Gonzalez N.,A,C,7,30.599999999999998,36.0,value,0.55
Nzola,A,C,7,23.8,28.0,value,0.55
Cambiaghi,A,C,7,22.099999999999998,26.0,value,0.55
Cutrone,A,C,7,21.25,25.0,value,0.55
Dominguez B.,A,C,7,20.4,24.0,value,0.55
Ngonge,A,C,7,20.4,24.0,value,0.55
Aboukhlal,A,C,7,20.4,24.0,value,0.55
Camarda,A,C,7,18.7,22.0,value,0.55
De Luca,A,C,7,18.7,22.0,value,0.55
Sulemana K.,A,C,7,17.0,20.0,value,0.55
Tourè E.,A,C,7,13.6,16.0,value,0.55
Addai,A,C,7,13.6,16.0,value,0.55
Bonny,A,C,7,12.75,15.0,value,0.55
Mosquera,A,C,7,11.9,14.0,value,0.55
Rodriguez Je.,A,C,7,11.9,14.0,value,0.55
Beltran L.,A,C,7,11.049999999999999,13.0,value,0.55
Lind,A,C,7,9.35,11.0,value,0.55
Borrelli,A,C,7,8.5,10.0,value,0.55
Rocha Livramento,A,C,7,6.8,8.0,value,0.55
Cancellieri,A,C,7,5.1,6.0,value,0.55
McTominay,C,C,7,170.85,201.0,value,0.55
De Bruyne,C,C,7,124.95,147.0,value,0.55
Conceicao,C,C,7,77.35,91.0,value,0.55
Thuram K.,C,C,7,55.25,65.0,value,0.55
Ederson D.S.,C,C,7,49.3,58.0,value,0.55
Frattesi,C,C,7,45.9,54.0,value,0.55
Neres,C,C,7,36.55,43.0,value,0.55
Koopmeiners,C,C,7,34.0,40.0,value,0.55
Modric,C,C,7,34.0,40.0,value,0.55
Jashari,C,C,7,33.15,39.0,value,0.55
Fofana Y.,C,C,7,31.45,37.0,value,0.55
De Roon,C,C,7,28.9,34.0,value,0.55
Mandragora,C,C,7,28.05,33.0,value,0.55
Sohm,C,C,7,28.05,33.0,value,0.55
Dele-Bashiru,C,C,7,28.05,33.0,value,0.55
Mkhitaryan,C,C,7,25.5,30.0,value,0.55
Pasalic,C,C,7,23.8,28.0,value,0.55
Vazquez,C,C,7,22.95,27.0,value,0.55
Ricci S.,C,C,7,22.95,27.0,value,0.55
Folorunsho,C,C,7,22.95,27.0,value,0.55
Malinovskyi,C,C,7,21.25,25.0,value,0.55
Pierotti,C,C,7,17.0,20.0,value,0.55
El Shaarawy,C,C,7,16.15,19.0,value,0.55
Fabbian,C,C,7,14.45,17.0,value,0.55
Loftus-Cheek,C,C,7,13.6,16.0,value,0.55
Atta,C,C,7,13.6,16.0,value,0.55
Ellertsson,C,C,7,12.75,15.0,value,0.55
Luis Henrique,C,C,7,11.9,14.0,value,0.55
Karlstrom,C,C,7,11.9,14.0,value,0.55
Boloca,C,C,7,11.049999999999999,13.0,value,0.55
Volpato,C,C,7,11.049999999999999,13.0,value,0.55
Thorsby,C,C,7,10.2,12.0,value,0.55
Serdar,C,C,7,10.2,12.0,value,0.55
Tourè I.,C,C,7,9.35,11.0,value,0.55
Tameze,C,C,7,9.35,11.0,value,0.55
Zalewski,C,C,7,8.5,10.0,value,0.55
Aebischer,C,C,7,7.6499999999999995,9.0,value,0.55
Asllani,C,C,7,7.6499999999999995,9.0,value,0.55
Rafia,C,C,7,6.8,8.0,value,0.55
Angelino,D,C,7,50.15,59.0,value,0.55
Tavares N.,D,C,7,41.65,49.0,value,0.55
Buongiorno,D,C,7,37.4,44.0,value,0.55
Dodò,D,C,7,37.4,44.0,value,0.55
Hien,D,C,7,34.0,40.0,value,0.55
Solet,D,C,7,31.45,37.0,value,0.55
Martin,D,C,7,27.2,32.0,value,0.55
Mancini,D,C,7,25.5,30.0,value,0.55
Beukema,D,C,7,21.25,25.0,value,0.55
Bisseck,D,C,7,20.4,24.0,value,0.55
Kalulu,D,C,7,20.4,24.0,value,0.55
Biraghi,D,C,7,19.55,23.0,value,0.55
Kossounou,D,C,7,18.7,22.0,value,0.55
Romagnoli,D,C,7,18.7,22.0,value,0.55
Mina,D,C,7,17.849999999999998,21.0,value,0.55
Pavlovic,D,C,7,17.849999999999998,21.0,value,0.55
Baschirotto,D,C,7,15.299999999999999,18.0,value,0.55
Celik,D,C,7,15.299999999999999,18.0,value,0.55
Jimenez A.,D,C,7,15.299999999999999,18.0,value,0.55
Kelly L.,D,C,7,14.45,17.0,value,0.55
Marì,D,C,7,13.6,16.0,value,0.55
Gabbia,D,C,7,13.6,16.0,value,0.55
Djimsiti,D,C,7,12.75,15.0,value,0.55
Kempf,D,C,7,12.75,15.0,value,0.55
Ehizibue,D,C,7,12.75,15.0,value,0.55
Floriani Mussolini,D,C,7,11.9,14.0,value,0.55
Angori,D,C,7,11.9,14.0,value,0.55
Rensch,D,C,7,11.9,14.0,value,0.55
Darmian,D,C,7,11.9,14.0,value,0.55
Muharemovic,D,C,7,10.2,12.0,value,0.55
De Silvestri,D,C,7,10.2,12.0,value,0.55
Bertola,D,C,7,9.35,11.0,value,0.55
Pongracic,D,C,7,9.35,11.0,value,0.55
Sabelli,D,C,7,9.35,11.0,value,0.55
Ceccherini,D,C,7,9.35,11.0,value,0.55
Vojvoda,D,C,7,8.5,10.0,value,0.55
