player_name,role,tier,base_value,shading_factor,scarcity_weight,recommended_bid,max_bid,priority,confidence
Martinez L.,A,Elite,380.0,0.0,0.0,381,160,High,0.9
Kean,A,Elite,375.0,0.0,0.0,371,160,High,0.9
Lukaku,A,Elite,341.0,0.0,0.0,341,160,High,0.9
Thuram,A,Elite,318.0,0.0,0.0,318,160,High,0.9
David,A,Elite,278.0,0.0,0.0,271,160,High,0.9
Gimenez,A,Elite,261.0,0.0,0.0,261,160,High,0.9
Dybala,A,Elite,252.0,0.0,0.0,251,160,High,0.9
Leao,A,Elite,242.0,0.0,0.0,241,160,High,0.9
Yildiz,A,Elite,235.0,0.0,0.0,231,160,High,0.9
Orsolini,C,Elite,220.0,0.0,0.0,220,160,High,0.9
Pulisic,C,Elite,216.0,0.0,0.0,211,160,High,0.9
Zaccagni,C,Elite,203.0,0.0,0.0,201,160,High,0.9
McTominay,C,Elite,201.0,0.0,0.0,201,160,High,0.9
Lookman,A,Elite,177.0,0.0,0.0,177,160,High,0.9
Gudmundsson A.,C,Elite,177.0,0.0,0.0,171,160,High,0.9
De Ketelaere,A,Elite,170.0,0.0,0.0,171,160,High,0.9
Calhanoglu,C,Elite,152.0,0.0,0.0,152,160,High,0.9
Castellanos,A,Elite,155.0,0.0,0.0,151,160,High,0.9
Dovbyk,A,Elite,150.0,0.0,0.0,150,160,High,0.9
De Bruyne,C,Elite,147.0,0.0,0.0,141,160,High,0.9
Berardi,A,Elite,145.0,0.0,0.0,141,160,High,0.9
Dia,A,Elite,147.0,0.0,0.0,141,160,High,0.9
Castro S.,A,Elite,140.0,0.0,0.0,141,160,High,0.9
Immobile,A,Elite,140.0,0.0,0.0,140,160,High,0.9
Krstovic,A,Elite,138.0,0.0,0.0,138,160,High,0.9
Ferguson E.,A,Elite,137.0,0.0,0.0,137,160,High,0.9
Soulè,A,Elite,125.0,0.0,0.0,121,145,High,0.9
Paz N.,C,Elite,119.0,0.0,0.0,111,133,High,0.9
Dumfries,D,Elite,100.0,0.0,0.0,101,121,High,0.9
Scamacca,A,Elite,107.0,0.0,0.0,101,121,High,0.9
Dimarco,D,Elite,96.0,0.0,0.0,96,115,High,0.9
Diao,A,Elite,95.0,0.0,0.0,95,114,High,0.9
Lang,A,Elite,94.0,0.0,0.0,94,112,High,0.9
Sommer,P,Elite,90.0,0.0,0.0,91,109,High,0.9
Meret,P,Elite,92.0,0.0,0.0,91,109,High,0.9
Conceicao,C,Elite,91.0,0.0,0.0,91,109,High,0.9
Vlahovic,A,Elite,99.0,0.0,0.0,91,109,High,0.9
Piccoli,A,Elite,90.0,0.0,0.0,91,109,High,0.9
Svilar,P,Elite,82.0,0.0,0.0,82,98,High,0.9
Di Gregorio,P,Elite,83.0,0.0,0.0,81,97,High,0.9
