name,role,team,price,expected_points,position_scarcity,risk_factor,ev_score,ev_percentile
Vural,C,Pisa,1,7.165550239234451,0.15180722891566265,0.4169879518072289,16.590477324237085,1.0
Esposito Se.,A,Inter,3,15.414432989690724,0.18529411764705883,0.4774509803921569,9.41110284479399,0.9980544747081712
Zerbin,C,Cremonese,2,7.165550239234451,0.15180722891566265,0.4103614457831325,8.389522217897945,0.9961089494163424
Meister,A,Pisa,1,4.4041237113402065,0.18529411764705883,0.49215686274509807,7.839642895100437,0.9941634241245136
Marcandalli,D,Genoa,2,7.050000000000001,0.15806451612903225,0.443010752688172,7.608125000000001,0.9922178988326849
Simeone,A,Torino,5,17.616494845360826,0.18529411764705883,0.4607843137254902,6.65915612711234,0.9902723735408561
Corvi,P,Parma,1,2.466666666666667,0.13999999999999999,0.3933333333333333,6.235185185185186,0.9571984435797666
Rossi F.,P,Atalanta,1,2.466666666666667,0.13999999999999999,0.3933333333333333,6.235185185185186,0.9571984435797666
Sportiello,P,Atalanta,1,2.466666666666667,0.13999999999999999,0.3933333333333333,6.235185185185186,0.9571984435797666
Pessina Mas.,P,Bologna,1,2.466666666666667,0.13999999999999999,0.3933333333333333,6.235185185185186,0.9571984435797666
Ciocci,P,Cagliari,1,2.466666666666667,0.13999999999999999,0.3933333333333333,6.235185185185186,0.9571984435797666
Perilli,P,Verona,1,2.466666666666667,0.13999999999999999,0.3933333333333333,6.235185185185186,0.9571984435797666
Lezzerini,P,Fiorentina,1,2.466666666666667,0.13999999999999999,0.3933333333333333,6.235185185185186,0.9571984435797666
Nunziante,P,Udinese,1,2.466666666666667,0.13999999999999999,0.3933333333333333,6.235185185185186,0.9571984435797666
Vasquez D.,P,Roma,1,2.466666666666667,0.13999999999999999,0.3933333333333333,6.235185185185186,0.9571984435797666
Popa,P,Torino,1,2.466666666666667,0.13999999999999999,0.3933333333333333,6.235185185185186,0.9571984435797666
Rinaldi,P,Parma,1,2.466666666666667,0.13999999999999999,0.3933333333333333,6.235185185185186,0.9571984435797666
Nicolas,P,Pisa,1,2.466666666666667,0.13999999999999999,0.3933333333333333,6.235185185185186,0.9571984435797666
Contini,P,Napoli,1,2.466666666666667,0.13999999999999999,0.3933333333333333,6.235185185185186,0.9571984435797666
Samooja,P,Lecce,1,2.466666666666667,0.13999999999999999,0.3933333333333333,6.235185185185186,0.9571984435797666
Martinelli T.,P,Fiorentina,1,2.466666666666667,0.13999999999999999,0.3933333333333333,6.235185185185186,0.9571984435797666
Sommariva,P,Genoa,1,2.466666666666667,0.13999999999999999,0.3933333333333333,6.235185185185186,0.9571984435797666
Siegrist,P,Genoa,1,2.466666666666667,0.13999999999999999,0.3933333333333333,6.235185185185186,0.9571984435797666
Di Gennaro,P,Inter,1,2.466666666666667,0.13999999999999999,0.3933333333333333,6.235185185185186,0.9571984435797666
Pinsoglio,P,Juventus,1,2.466666666666667,0.13999999999999999,0.3933333333333333,6.235185185185186,0.9571984435797666
Furlanetto,P,Lazio,1,2.466666666666667,0.13999999999999999,0.3933333333333333,6.235185185185186,0.9571984435797666
Fruchtl,P,Lecce,1,2.466666666666667,0.13999999999999999,0.3933333333333333,6.235185185185186,0.9571984435797666
Paleari,P,Torino,1,2.466666666666667,0.13999999999999999,0.3933333333333333,6.235185185185186,0.9571984435797666
Padelli,P,Udinese,1,2.466666666666667,0.13999999999999999,0.3933333333333333,6.235185185185186,0.9571984435797666
Nava,P,Cremonese,1,2.466666666666667,0.13999999999999999,0.3933333333333333,6.235185185185186,0.9571984435797666
